string=9613197689746009e+083  ryuVal=9.61319768974600839E+98  cs=9.61319768974600961E+98
string=5218061612248284e+056  ryuVal=5.21806161224828351E+71  cs=5.21806161224828449E+71
string=9560293986025172e+083  ryuVal=9.56029398602517139E+98  cs=9.56029398602517261E+98
string=2799709367869104e+030  ryuVal=2.79970936786910384E+45  cs=2.79970936786910416E+45
string=3253542919807716e+056  ryuVal=3.25354291980771575E+71  cs=3.25354291980771625E+71
string=11141725577438650e+028  ryuVal=1.1141725577438649E+44  cs=1.1141725577438651E+44
string=6275715747115792e+056  ryuVal=6.27571574711579151E+71  cs=6.27571574711579249E+71
string=4339225417674576e+029  ryuVal=4.3392254176745756E+44  cs=4.3392254176745764E+44
string=4288909762533884e+084  ryuVal=4.28890976253388376E+99  cs=4.28890976253388424E+99
string=7396871221021822e+028  ryuVal=7.3968712210218215E+43  cs=7.3968712210218225E+43
string=3397758545735264e+031  ryuVal=3.39775854573526375E+46  cs=3.39775854573526425E+46
string=9348950751363092e+083  ryuVal=9.34895075136309139E+98  cs=9.34895075136309261E+98
string=8264205619572563e+028  ryuVal=8.2642056195725625E+43  cs=8.2642056195725635E+43
string=2716870510234080e+058  ryuVal=2.71687051023407984E+73  cs=2.71687051023408016E+73
string=10722274406334710e+083  ryuVal=1.07222744063347094E+99  cs=1.07222744063347106E+99
string=12658872181171840e+057  ryuVal=1.26588721811718392E+73  cs=1.26588721811718408E+73
string=3141018891201818e+084  ryuVal=3.14101889120181776E+99  cs=3.14101889120181824E+99
string=17453790444041828e+028  ryuVal=1.7453790444041827E+44  cs=1.7453790444041829E+44
string=16187134083833388e+056  ryuVal=1.6187134083833387E+72  cs=1.6187134083833389E+72
string=9842084965574612e+083  ryuVal=9.84208496557461139E+98  cs=9.84208496557461261E+98
string=2655065241589668e+084  ryuVal=2.65506524158966776E+99  cs=2.65506524158966824E+99
string=6224776512933853e+028  ryuVal=6.2247765129338525E+43  cs=6.2247765129338535E+43
string=14749349336903572e+028  ryuVal=1.4749349336903571E+44  cs=1.4749349336903573E+44
string=1686680329609736e+084  ryuVal=1.68668032960973588E+99  cs=1.68668032960973612E+99
string=13763617212743752e+029  ryuVal=1.37636172127437512E+45  cs=1.37636172127437528E+45
string=7662270421753356e+084  ryuVal=7.66227042175335551E+99  cs=7.66227042175335649E+99
string=7757122911984140e+028  ryuVal=7.7571229119841395E+43  cs=7.7571229119841405E+43
string=6393804082129994e+028  ryuVal=6.3938040821299935E+43  cs=6.3938040821299945E+43
string=4028388896561286e+084  ryuVal=4.02838889656128576E+99  cs=4.02838889656128624E+99
string=6485021061329152e+029  ryuVal=6.4850210613291516E+44  cs=6.4850210613291524E+44
string=6562831651326135e+028  ryuVal=6.5628316513261345E+43  cs=6.5628316513261355E+43
